step,train_loss,grad_norm,lr,update_to_weight_ratio,mfu,vram_allocated_gb,vram_reserved_gb,vram_peak_allocated_gb,attention_entropy
0,11.51414829492569,3.98470401763916,0.0003,5.173479854577617e-06,1.6566956495626475,5.999868392944336,1.5243644714355469,6.31640625,4.559591293334961
500,6.373991563916206,2.330155372619629,0.0003,2.8381096221519263e-06,1.4131786534584259,5.999868392944336,1.5243644714355469,6.31640625,3.9853272438049316
1000,5.321969985961914,5.340023517608643,0.0003,5.533167893373934e-06,1.4813407770623006,4.52787971496582,1.5243644714355469,4.8203125,3.538430690765381
1500,4.2555340230464935,0.7897531390190125,0.00022484999999999996,5.403871243631768e-07,0.3828721153439546,2.269392967224121,5.77734375,5.3312296867370605,3.4331374168395996
2000,3.8935503102838993,0.5304652452468872,0.00029984999999999994,4.379813210889171e-07,0.3630344922057284,2.269392967224121,5.77734375,5.3312296867370605,3.4246020317077637
2500,3.616295224055648,0.4426315426826477,0.0003,3.3878072332664544e-07,0.36566167746365724,2.269392967224121,5.77734375,5.3312296867370605,3.38885498046875
3000,3.503025327809155,0.4958471953868866,0.0003,3.5852646718680165e-07,0.35841540551160433,2.269392967224121,5.77734375,5.3312296867370605,3.610793352127075
3500,3.4078919389285147,0.49568241834640503,0.0003,3.423390432494079e-07,0.3785530089201112,2.269392967224121,5.77734375,5.3312296867370605,3.6231777667999268
4000,3.34566290024668,0.4761727750301361,0.0003,3.155867143658459e-07,0.38672145577073,2.269392967224121,5.77734375,5.3312296867370605,3.7546839714050293
4500,3.2059187688864768,0.47842803597450256,0.0003,3.0676845215923175e-07,0.3781610736661934,2.269392967224121,5.77734375,5.3312296867370605,3.7984070777893066
5000,3.2896181596443057,0.4297938048839569,0.0003,2.672633378856667e-07,0.3861228647488844,2.269392967224121,5.77734375,5.3312296867370605,3.771702766418457
5500,3.269740556832403,0.5039002895355225,0.0003,3.05226842971079e-07,0.3733561788076842,2.269392967224121,5.77734375,5.3312296867370605,3.799889087677002
6000,3.2450780963990837,0.4824429750442505,0.0003,2.854342975010408e-07,0.3816006328180445,2.269392967224121,5.77734375,5.3312296867370605,3.942939519882202
6500,3.294843915384263,0.4552769958972931,0.0002997930226997715,2.6391115677020166e-07,0.3692414321877103,2.269392967224121,5.77734375,5.3312296867370605,3.878993511199951
7000,3.2196284332312644,0.4784969687461853,0.00029858886996752767,2.712479027600327e-07,0.3330164176197579,2.269392967224121,5.77734375,5.3312296867370605,3.9069113731384277
7500,3.1678144922479987,0.5281216502189636,0.00029631871873790627,2.923486585332343e-07,0.3372219875205075,2.269392967224121,5.77734375,5.3312296867370605,3.9221673011779785
8000,3.111501030623913,0.43431204557418823,0.00029299942253026523,2.342873568152233e-07,0.34604690222039464,2.269392967224121,5.77734375,5.3312296867370605,3.9540016651153564
8500,2.9137129178270698,0.4015295207500458,0.00028865562367774993,2.1040812611999126e-07,0.36380221012586567,2.269392967224121,5.77734375,5.3312296867370605,3.9719815254211426
9000,2.9091878281906247,0.41107597947120667,0.00028331957038351665,2.088305670826936e-07,0.36841570644767047,2.269392967224121,5.77734375,5.3312296867370605,3.958853244781494
9500,3.0783492773771286,0.4611535370349884,0.0002770308773112567,2.2670703630278552e-07,0.369492716969328,2.269392967224121,5.77734375,5.3312296867370605,3.9521212577819824
10000,3.1664051320403814,0.38970741629600525,0.00026983623148738793,1.8513807490890598e-07,0.37320070233588015,2.269392967224121,5.77734375,5.3312296867370605,3.9290003776550293
10500,3.1135350950062275,0.43570077419281006,0.0002617890456982855,1.9965287299503356e-07,0.3808980845335888,2.269392967224121,5.77734375,5.3312296867370605,3.952843427658081
11000,3.061665667919442,0.41716763377189636,0.0002529490619557169,1.8362941714469492e-07,0.372683796715561,2.269392967224121,5.77734375,5.3312296867370605,3.9121971130371094
11500,3.0664175134152174,0.372676819562912,0.00024338190797434123,1.5717346388677852e-07,0.3815483383433669,2.269392967224121,5.77734375,5.3312296867370605,3.971550464630127
12000,3.116021979600191,0.3923787772655487,0.00023315860995396496,1.5789064914791545e-07,0.37699047065804264,2.269392967224121,5.77734375,5.3312296867370605,3.9236128330230713
12500,3.1436136577976868,0.4189571440219879,0.00022235506528364376,1.6017934427024255e-07,0.3793799628662562,2.269392967224121,5.77734375,5.3312296867370605,3.8988375663757324
13000,3.060157451312989,0.41263002157211304,0.00021105147908225273,1.4930764255958596e-07,0.38333829665899133,2.269392967224121,5.77734375,5.3312296867370605,3.9266600608825684
13500,3.0342621416784823,0.3727840185165405,0.0001993317687586301,1.2712602986822626e-07,0.37119049873433885,2.269392967224121,5.77734375,5.3312296867370605,4.013155937194824
14000,3.059066397603601,0.36389464139938354,0.00018728294101181525,1.1645396462297988e-07,0.3717891648029739,2.269392967224121,5.77734375,5.3312296867370605,3.9182748794555664
14500,3.1213202946819365,0.3576728105545044,0.00017499444589651067,1.0689640819473665e-07,0.37214551699674775,2.269392967224121,5.77734375,5.3312296867370605,3.9536945819854736
15000,2.9686322717461735,0.38220882415771484,0.00016255751274916092,1.0611604806972649e-07,0.37508061128326825,2.269392967224121,5.77734375,5.3312296867370605,3.9357571601867676
15500,2.9123454154469073,0.41542401909828186,0.0001500644729047089,1.0655106894134712e-07,0.36370017046189124,2.269392967224121,5.77734375,5.3312296867370605,3.892947196960449
16000,2.980935624334961,0.37563297152519226,0.0001376080742321565,8.842347892803246e-08,0.3592111198673041,2.269392967224121,5.77734375,5.3312296867370605,3.884246349334717
16500,3.017284991685301,0.3933311104774475,0.000125280792577791,8.439339066432138e-08,0.37265904211842094,2.269392967224121,5.77734375,5.3312296867370605,3.871229887008667
17000,2.947379222139716,0.3914109468460083,0.00011317414522789825,7.595687495193357e-08,0.37671280253732925,2.269392967224121,5.77734375,5.3312296867370605,3.9144716262817383
17500,2.9627742771990597,0.3909669816493988,0.00010137801148779073,6.806654452281862e-08,0.3683492943706408,2.269392967224121,5.77734375,5.3312296867370605,3.846543788909912
